"ID,""Dir"",""Length"",""JERARQUIA"",""DESIGNACIÓN"",""AB_CAP_CARRIL"",""BA_CAP_CARRIL"",""AB_FACTOR_REGULACIÓN"",""BA_FACTOR_REGULACIÓN"",""AB_V0"",""BA_V0"",""AB_CARRILES"",""BA_CARRILES"",""AB_ALPHA"",""BA_ALPHA"",""AB_BETA"",""BA_BETA"",""AB_CAPACIDAD"",""BA_CAPACIDAD"",""AB_T0"",""BA_T0"",""ID"",""Dir"",""Length"",""JERARQUIA"",""DESIGNACIÓN"",""AB_CAP_CARRIL"",""BA_CAP_CARRIL"",""AB_FACTOR_REGULACIÓN"",""BA_FACTOR_REGULACIÓN"",""AB_V0"",""BA_V0"",""AB_CARRILES"",""BA_CARRILES"",""AB_ALPHA"",""BA_ALPHA"",""AB_BETA"",""BA_BETA"",""AB_CAPACIDAD"",""BA_CAPACIDAD"",""AB_T0"",""BA_T0"",""ID1"",""AB_Flow"",""BA_Flow"",""Tot_Flow"",""AB_Time"",""BA_Time"",""Max_Time"",""AB_VOC"",""BA_VOC"",""Max_VOC"",""AB_VKmT"",""BA_VKmT"",""Tot_VKmT"",""AB_VHT"",""BA_VHT"",""Tot_VHT"",""AB_Speed"",""BA_Speed"",""AB_VDF"",""BA_VDF"",""Max_VDF"""
"1,1,0.356125,10,""Calle Macarena"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,0.712249,,1,1,0.356125,10,""Calle Macarena"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,0.712249,,1,0.0000,,0.0000,0.712249,,0.712249,0.0000,,0.0000,0.0000,,0.0000,0.0000,,0.0000,30.0000,,0.712249,,0.712249"
"4,1,0.206848,10,""Calle San Luis"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,0.413695,,4,1,0.206848,10,""Calle San Luis"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,0.413695,,4,0.0000,,0.0000,0.413695,,0.413695,0.0000,,0.0000,0.0000,,0.0000,0.0000,,0.0000,30.0000,,0.413695,,0.413695"
"5,1,0.235286,10,""Calle Socorro"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,0.470573,,5,1,0.235286,10,""Calle Socorro"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,0.470573,,5,0.0000,,0.0000,0.470573,,0.470573,0.0000,,0.0000,0.0000,,0.0000,0.0000,,0.0000,30.0000,,0.470573,,0.470573"
"6,1,0.304386,10,""Calle Feria + Castellar"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,0.608773,,6,1,0.304386,10,""Calle Feria + Castellar"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,0.608773,,6,0.0000,,0.0000,0.608773,,0.608773,0.0000,,0.0000,0.0000,,0.0000,0.0000,,0.0000,30.0000,,0.608773,,0.608773"
"8,1,0.104285,10,""Calle Feria"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,0.208569,,8,1,0.104285,10,""Calle Feria"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,0.208569,,8,331.0070,,331.0070,0.337594,,0.337594,0.472867,,0.472867,34.5189,,34.5189,1.86243,,1.86243,18.5343,,0.337594,,0.337594"
"9,1,0.233929,10,""Calle Escoberos"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,0.467858,,9,1,0.233929,10,""Calle Escoberos"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,0.467858,,9,0.0000,,0.0000,0.467858,,0.467858,0.0000,,0.0000,0.0000,,0.0000,0.0000,,0.0000,30.0000,,0.467858,,0.467858"
"10,1,0.232694,10,""Calle Feria"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,0.465388,,10,1,0.232694,10,""Calle Feria"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,0.465388,,10,331.0070,,331.0070,0.753286,,0.753286,0.472867,,0.472867,77.0233,,77.0233,4.15571,,4.15571,18.5343,,0.753286,,0.753286"
"11,1,0.472899,10,""Calle San Luis"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,0.945797,,11,1,0.472899,10,""Calle San Luis"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,0.945797,,11,0.0000,,0.0000,0.945797,,0.945797,0.0000,,0.0000,0.0000,,0.0000,0.0000,,0.0000,30.0000,,0.945797,,0.945797"
"12,1,0.277249,10,""Calle Relator"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,0.554499,,12,1,0.277249,10,""Calle Relator"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,0.554499,,12,0.0000,,0.0000,0.554499,,0.554499,0.0000,,0.0000,0.0000,,0.0000,0.0000,,0.0000,30.0000,,0.554499,,0.554499"
"13,1,0.492092,10,""Calle Sol"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,0.984183,,13,1,0.492092,10,""Calle Sol"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,0.984183,,13,0.0000,,0.0000,0.984183,,0.984183,0.0000,,0.0000,0.0000,,0.0000,0.0000,,0.0000,30.0000,,0.984183,,0.984183"
"14,1,0.235826,10,""Calle Sol + Dª Maria Coronel"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,0.471653,,14,1,0.235826,10,""Calle Sol + Dª Maria Coronel"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,0.471653,,14,0.0000,,0.0000,0.471653,,0.471653,0.0000,,0.0000,0.0000,,0.0000,0.0000,,0.0000,30.0000,,0.471653,,0.471653"
"15,0,0.0200575,10,""Calle Almirante Apodaca"",1400.00,1400.00,0.5,0.5,30,30,1,1,2.48003,2.48,1.854,1.854,700,700,0.0401149,0.0401149,15,0,0.0200575,10,""Calle Almirante Apodaca"",1400.00,1400.00,0.5,0.5,30,30,1,1,2.48003,2.48,1.854,1.854,700,700,0.0401149,0.0401149,15,702.6011,0.0000,702.6011,0.140288,0.0401149,0.140288,1.00372,0.0000,1.00372,14.0924,0.0000,14.0924,1.64277,0.0000,1.64277,8.57843,30.0000,0.140288,0.0401149,0.140288"
